Deg,No.,No. Part,W_mean (µm),D_mean (µm),Laser Power (W),Scanning Speed (mm/s),Hatch Space (mm),"Energy (J)
E=p/(v*h*t)",OT_Int (0-255),OT_Max (0-255),MPM_on (0-255),MPM_off (0-255),optim_on (0-255),optim_off (0-255),Calib_on,Calib_off
90,1,N_1,138.7394731,137.866105,296,1040,0.104,2.736686391,13.66138836,10.60576118,4507.560183,1627.799231,4613.787759,2079.648256,9.39400057,7.526232207
90,9,N_9,139.9506588,176.4064037,296,1040,0.13,2.189349112,13.54035088,10.59851677,4010.204714,1439.896157,3683.075823,1466.962872,10.46941811,9.437972576
45,4,45Deg_4,147.5335798,166.9784151,296,1040,0.156,1.824457594,13.41041222,10.48263655,3840.833966,1288.432248,3742.680961,1405.754183,9.867551152,8.81290041
60,9,30Deg_9,153.783419,175.0841236,333,1040,0.104,3.078772189,17.91572519,12.38208955,3751.519685,1116.374173,3415.848727,1069.884651,10.5602758,10.03320034
90,4,N_4,148.0448753,193.8382249,333,1040,0.13,2.463017751,13.495035,10.73730268,4237.120736,1595.801789,3947.368772,1669.876806,10.32119062,9.188850289
45,7,45Deg_7,141.446262,206.5258568,333,1040,0.156,2.052514793,14.14610975,10.88190955,4126.74047,1430.484153,4137.358511,1505.755543,9.590707869,9.134720029
45,2,45Deg_2,155.31871,237.6352996,370,1040,0.104,3.420857988,14.23798701,11.10330719,4208.777882,1532.113626,4190.014199,1642.617097,9.658444142,8.968530655
60,5,30Deg_5,177.6788226,209.0559851,370,1040,0.13,2.736686391,14.68731368,11.24995648,3589.94683,1065.008264,3397.165225,1059.571444,10.1610364,9.664722596
90,5,N_5,149.0775086,188.4262733,370,1040,0.156,2.280571992,14.25239923,10.83310603,4429.253552,1708.570234,4256.472949,1780.682188,10.00569649,9.22599218
60,7,30Deg_7,110.3110561,125.4237597,296,1300,0.104,2.189349112,13.85065147,10.85230823,3595.60468,1191.781728,3480.637019,1107.39398,7.946389522,8.278491593
90,2,N_2,132.4483601,130.2848657,296,1300,0.13,1.75147929,13.11898734,10.20175291,4255.345806,1564.141591,3999.916711,1726.499227,8.183527719,6.968933553
60,8,30Deg_8,105.6349543,107.8147208,296,1300,0.156,1.459566075,13.09589268,10.12636426,3787.661507,1251.323146,3860.391508,1227.958792,7.547384167,7.838669118
60,2,30Deg_2,133.6194311,156.5890879,333,1300,0.104,2.463017751,13.32680277,10.528451,3657.50166,1198.408892,3331.333727,1149.951879,8.445454722,8.016448433
90,6,N_6,116.7508627,126.5903548,333,1300,0.13,1.970414201,14.7310789,11.2005631,4490.590857,1732.944305,4543.006119,1888.389745,7.603557135,7.059104638
45,9,45Deg_9,130.9055188,135.2302779,333,1300,0.156,1.642011834,14.99737963,11.42383663,3701.056723,1180.802106,3583.894873,1249.617239,7.943778517,7.268700238
45,8,45Deg_8,120.8650329,164.8746561,370,1300,0.104,2.736686391,14.15264443,10.99505626,4365.944232,1549.143944,4146.522307,1464.680133,8.099362288,8.135900534
60,3,30Deg_3,124.1723225,167.821341,370,1300,0.13,2.189349112,14.26757591,11.12281,4069.047569,1365.849567,3682.956112,1196.77202,8.498707278,8.779061471
90,8,N_8,121.0760973,166.9481467,370,1300,0.156,1.824457594,13.27534581,10.42083333,4063.16459,1433.754081,3773.596602,1525.273997,8.282579069,7.2307517
90,3,N_3,106.3641907,106.7129126,296,1560,0.104,1.824457594,13.56381958,10.36861621,4212.429642,1570.398534,3758.041613,1593.881074,7.185326001,6.315814544
45,6,45Deg_6,96.4488746,103.6274653,296,1560,0.13,1.459566075,13.66786005,10.61351761,3804.759688,1311.907131,3572.295993,1313.005187,6.827397625,6.404895563
60,1,30Deg_1,95.45908518,99.43330637,296,1560,0.156,1.216305062,13.54001993,10.64280751,3623.273187,1190.302666,3353.593463,1140.833172,6.925738146,6.688221803
45,1,45Deg_1,103.0692106,115.9541672,333,1560,0.104,2.052514793,13.88148148,10.70872483,4144.646276,1471.446865,3908.561926,1529.9283,6.797447722,6.16522467
60,4,30Deg_4,101.7977512,128.4516827,333,1560,0.13,1.642011834,12.91998012,10.18366303,4204.636102,1389.861692,4057.024866,1278.973218,6.64348788,6.966033139
90,7,N_7,116.3361701,121.3776968,333,1560,0.156,1.368343195,13.61052463,10.93994149,4168.824596,1437.033671,4036.492667,1611.06702,6.620409547,5.717797079
45,3,45Deg_3,101.1833204,135.818376,370,1560,0.104,2.280571992,14.45549227,11.15034553,4524.428521,1698.095378,4280.106334,1634.344163,6.776174391,6.660302664
60,6,30Deg_6,109.6094489,137.7398219,370,1560,0.13,1.824457594,13.40615335,10.28695356,3620.489562,1128.763501,3487.231563,1098.808084,6.655212309,6.585011135
45,5,45Deg_5,114.1595554,136.9770178,370,1560,0.156,1.520381328,13.19235151,10.59188544,3720.808396,1258.197054,3601.898711,1343.410157,6.621878566,6.003650999
