Degree,Part No.,Strip No. on part,Set No.,Laser Power (W),Scanning Speed (mm/s),Hatch Space (mm),W_mean (µm),D_mean (µm),Energy Density E=P/(v*h*t) (J/mm3),OT_Max (0-255),OT_Int (0-255),MPM_on (0-255),MPM_off (0-255),opt_on (0-255),opt_off (0-255),Calib_on,Calib_off
45,2,3,1,185,715,0.117,94.96655,86.74331,73.71545833,12.17243437,23.11087866,153.428101,133.1136201,189.5738272,153.7031153,11.31932397,12.11249979
45,2,2,2,185,715,0.143,99.24299,76.47728,60.31264773,10.98255487,22.59025361,148.0975515,128.4100272,188.0262301,163.191089,11.01598658,11.0051624
45,2,1,3,185,845,0.117,87.15918,81.66265,62.37461859,9.875598086,13.35646053,138.0162903,118.2310255,186.373729,171.6451833,8.763729138,8.151604995
55,1,5,4,185,845,0.143,90.34254328,72.03362184,51.03377884,9.321805393,14.43011918,132.0766269,105.0644269,192.0694746,146.8865679,8.137873069,8.464803942
55,1,4,5,185,975,0.117,85.54568908,69.65712383,54.05800278,7.800820152,15.82201533,122.0541801,97.54085322,193.0508933,152.2283988,6.484495995,6.571829012
55,1,3,6,185,975,0.143,80.56402574,72.12605415,44.229275,6.486342043,13.18658734,113.927337,99.05324728,192.2504773,157.9498542,6.077932936,6.431982775
55,1,2,7,185,1105,0.117,79.15236827,66.46690127,47.69823774,6.474148061,12.06717226,113.3729569,97.38495739,192.2197671,163.3968018,5.3376384,5.393690829
55,1,1,8,185,1105,0.143,75.20135058,70.04945787,39.02583088,5.255344418,9.557502738,104.3594771,92.08176101,192.5046272,169.5459546,4.906010161,4.915004347
45,1,5,9,185,1235,0.117,82.8634688,70.81282078,42.67737061,5.718492344,8.768847007,109.4939671,97.8274223,202.2144422,145.0555248,4.384409032,5.460839069
45,1,4,10,185,1235,0.143,75.67438185,64.74966023,34.91784868,4.840392879,8.135809313,100.0280592,94.77834445,199.4355694,153.1081663,4.061180268,5.012377888
45,1,3,11,185,1365,0.117,69.52138919,59.33114642,38.61285913,4.935162095,8.329268293,102.136052,93.33597979,197.5746597,162.9137357,3.787173246,4.197191039
85,4,5,12,185,1365,0.143,65.22732013,74.01962271,31.59233928,4.741912293,6.806598407,78.03569946,102.1120332,164.1116149,133.5618927,3.483544455,5.600950151
85,4,4,13,185,1495,0.117,58.81353683,56.19155054,35.2552192,4.956228956,7.010262258,78.12940304,101.8576196,164.3716603,146.8872192,3.179408797,4.638401311
85,4,3,14,185,1495,0.143,66.47549531,60.83913167,28.84517935,3.89261745,6.182593857,75.75282714,97.00726979,163.7783828,159.963131,3.09386297,4.056422595
85,4,2,15,185,1625,0.117,69.05668784,68.72679875,32.43480167,3.328476821,5.986141907,76.33434998,96.63584691,163.9180129,173.5012692,2.865760985,3.427537664
85,4,1,16,185,1625,0.143,71.61806806,71.4602332,26.537565,3.014124294,5.112627986,71.29145729,90.77531381,163.8927971,184.8862445,2.676851381,3.021410908
45,6,5,17,185,1755,0.117,73.06865672,73.78383085,30.03222376,3.795188155,6.755135135,64.19181682,58.58417698,162.2154075,113.4048938,2.254812559,2.943549993
75,4,5,18,185,1755,0.143,57.97719785,52.77043779,24.57181944,3.152511962,6.960369164,69.4408284,80.54503171,165.4344617,125.93078,2.391728011,3.644431087
45,6,4,19,222,715,0.117,94.03392561,86.64619758,88.45855,13.44230769,25.54770889,130.2928416,125.8660425,162.1997411,117.3833692,11.23477444,14.99670901
75,4,4,20,222,715,0.143,110.4059352,122.2219062,72.37517727,15.00837321,26.42158969,161.2789897,169.9724455,164.7146415,137.1190913,13.69429084,17.33702417
45,6,3,21,222,845,0.117,92.96923715,77.47719735,74.84954231,12.27817746,25.95783784,126.1352339,119.3848947,163.0742808,122.3704599,9.153648597,11.54558863
75,4,3,22,222,845,0.143,99.1545545,99.23394724,61.24053461,12.48684211,22.5369164,142.0615984,150.2946636,166.1333344,150.5382982,10.11959673,11.8151666
45,6,2,23,222,975,0.117,83.67287373,74.30305615,64.86960333,10.42247839,22.93792741,121.0321118,108.1390896,160.5257684,124.114571,7.733057473,8.936250263
75,4,2,24,222,975,0.143,108.3141103,101.1440897,53.07513,9.594322886,17.48948266,127.8174603,135.4265873,165.2246606,161.7662638,7.934338047,8.586404893
45,6,1,25,222,1105,0.117,69.19046434,67.68242123,57.23788529,8.477817746,13.65334035,112.6113503,101.0477264,159.8686676,128.7611252,6.374652756,7.10198098
75,4,1,26,222,1105,0.143,90.29604873,90.18834293,46.83099706,8.45992823,11.97394137,112.8217822,123.301765,164.8525154,172.0823294,6.193485136,6.484414062
85,3,5,27,222,1235,0.117,86.02914359,84.98821766,51.21284474,8.08042394,10.95177384,111.7606483,142.6219374,168.2259444,138.4306134,5.379339816,8.342327413
85,3,4,28,222,1235,0.143,81.90744232,80.75749555,41.90141842,6.324499411,9.616962306,99.8132,133.8864,165.5875983,148.7733367,4.880824752,7.286926737
85,3,3,29,222,1365,0.117,86.43956867,87.66069719,46.33543095,6.750623441,10.00163934,104.0133383,135.5439052,165.7657583,162.4708159,4.596862983,6.111840067
